pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
merged_way/66676884-2-220+1,220,way/1076001174-220,DE80-220,2.6459699999999997,Unknown (may be duplicate path or parallel circuit)
way/41339399-2-220,220,way/95434457-220,DE125-220,2.63058,No nearby JAO lines
way/1222462381-1-220,220,way/942448206-220,DE27-220,2.5760500000000004,Unknown (may be duplicate path or parallel circuit)
merged_way/143901793-1-220+1,220,DE179-220,way/143903369-220,2.5117399999999996,Unknown (may be duplicate path or parallel circuit)
way/1216922903-220,220,way/953757608-220,DE40-220,2.4178699999999997,No nearby JAO lines
way/38584672-220,220,way/1303270458-220,way/38584673-220,2.30111,Unknown (may be duplicate path or parallel circuit)
merged_way/856077610-2-220+3,220,DE126-220,way/22761839-220,2.13953,Unknown (may be duplicate path or parallel circuit)
merged_way/71503500-1-220+1,220,DE82-220,DE84-220,2.12123,No nearby JAO lines
merged_way/259468200-2-220+1,220,way/59707532-220,DE18-220,2.11059,Unknown (may be duplicate path or parallel circuit)
way/42920726-1-220,220,DE80-220,DE81-220,1.72188,Unknown (may be duplicate path or parallel circuit)
merged_way/241626236-220+2,220,DE64-220,way/42507488-220,1.61331,Unknown (may be duplicate path or parallel circuit)
way/92877623-220,220,DE106-220,way/92877635-220,1.55907,Unknown (may be duplicate path or parallel circuit)
merged_way/108526478-2-220+2,220,way/85523877-220,DE205-220,1.5198699999999998,Unknown (may be duplicate path or parallel circuit)
way/231965957-220,220,DE43-220,way/28227099-220,1.3287200000000001,Unknown (may be duplicate path or parallel circuit)
way/70691555-1-220,220,DE84-220,DE86-220,1.30616,Unknown (may be duplicate path or parallel circuit)
merged_way/998005837-2-220+1,220,DE23-220,DE24-220,1.2740799999999999,No nearby JAO lines
